age,workStatus,facultyDummy,staffDummy,gender,race_1,race_2,race_3,race_9,race_10,race_11,race_12,race_12_TEXT,race_13,income,childrenDependents,schoolDivision,schoolDivision_25_TEXT,originlat,originlon,destinlat,destinlon,total_trips_old,commuteCampus_1,commute_days,modeChoice_1old,modeChoice_2old,modeChoice_3old,modeChoice_4old,modeChoice_5old,modeChoice_6old,modeChoice_7old,modeChoice_8old,modeChoice_9old,modeChoice_10old,modeChoice_1,modeChoice_2,modeChoice_3,modeChoice_4,modeChoice_5,modeChoice_6,modeChoice_7,modeChoice_8,modeChoice_9,modeChoice_10,arrivalTime,totalHours,reasonabilyUtilize_1,reasonabilyUtilize_2,reasonabilyUtilize_3,reasonabilyUtilize_4,reasonabilyUtilize_5,reasonabilyUtilize_6,reasonabilyUtilize_7,reasonabilyUtilize_8,whyBike_1,whyBike_2,whyBike_3,whyBike_5,whyBike_6,whyBike_7,whyBike_8,whyBike_9,whyBike_10,whyWalk_1,whyWalk_2,whyWalk_4,whyWalk_5,whyWalk_6,whyWalk_7,whyCarpool_1,whyCarpool_2,whyCarpool_3,whyCarpool_4,whyCarpool_5,whyCarpool_6,whyCarpool_7,whyVanpool_1,whyVanpool_2,whyVanpool_3,whyVanpool_4,whyVanpool_5,whyVanpool_6,whyTransit_1,whyTransit_2,whyTransit_3,whyTransit_4,whyTransit_6,whyTransit_7,whyTransit_8,whyTransit_9,whyTransit_10,scenarioBikeWalkDr,scenarioCarpoolD,scenarioTransitD,scenarioBikeWalkTr,envImpact_1,envImpact_1_dummy,envImpact_2,envImpact_2_dummy,longdistYN,longdistTripsCompare_1,longdistTripsCompare_2,longdistTripsCompare_3,longdistTripsCompare_4,longdistTripsNYC,longdistTripsBos,longdistTripsPitt,longdistTripsDriveRe_1,longdistTripsDriveRe_2,longdistTripsFlyReas_1,longdistTripsFlyReas_2,longdistTripsFlyReas_3,geometry
18-24,Graduate Student,0,0,Man,White,"","","","","","","","","$20,000 - $39,999",No,Perelman School of Medicine,"",39.9428472,-75.175437,39.949660928465015,-75.1951663656067,5,5,5,0,1,0,4,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,8:00-10:00 AM,31-40 hours,"",Public Transit,Walk,Bike,"","","","","","","","","","","","","","","",Takes too long,"","",I prefer my current type of transportation,"","","","","","","","","","","","","","","","","","","","","","","","","","Walk or bike three days per week.
Take public transit two days per week.
Pay for transit fare.
Receive $20/month in bicycle expenses.",Agree,Agree,Neither agree nor disagree,Disagree or Nuetral,No,"","","","","","","","","","","","",-75.175437|39.9428472
25-34,Graduate Student,0,0,Man,"","","",Asian,"","","","","","$20,000 - $39,999",No,School of Arts and Sciences,"",39.9473277,-75.1797817,39.95194059999999,-75.1899723,10,5,5,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,10:00-12:00 PM,31-40 hours,"",Public Transit,Walk,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Not compatible with my schedule,"","","","","","","","","","","","Walk or bike three days per week.
Take public transit two days per week.
Pay for transit fare.
Receive $20/month in bicycle expenses.",Agree,Agree,Agree,Agree,No,"","","","","","","","","","","","",-75.1797817|39.9473277
65+,Faculty,1,0,"",White,"","","","","","","","","$150,000 or more",No,The Wharton School,"",39.9476348543773,-75.1813360832031,39.953485363357174,-75.1980846090149,3,3,3,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,10:00-12:00 PM,21-30 hours,Personal car,Public Transit,"","","",Rideshare or taxi,"","","","","","","","","","","","","","","","","",Not compatible with my schedule,"","","","",I live too close to work,"","","","","","","","","","","","","","","","","","","Drive alone three days a week
Take public transit two days a week
Pay $210 for monthly parking.Pay for transit fare.
Both together are eligible for upto $280 monthly payroll pre-tax exemption.","",Neither agree nor disagree,Disagree or Nuetral,Neither agree nor disagree,Disagree or Nuetral,Yes,"","","",5 or more,"Take a taxi or use rideshare to get to 30th St. Station, take Amtrak to New York Penn Station","Take SEPTA to PHL, fly to Boston Logan","Take a taxi or use rideshare to get to PHL, fly to Pittsburgh","","",Strongly agree,Strongly agree,Disagree,-75.1813360832031|39.9476348543773
45-54,Staff,0,1,"",White,"","","","","","","","","$80,000 - $99,999",No,Division of Finance,"",40.0836359,-74.978972,39.9533066,-75.1939253,10,5,5,0,5,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8:00-10:00 AM,More than 40 hours,"",Public Transit,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Take public transit three days per week. 
Walk or bike two days per week. 
Pay for monthly transit fare up to $280 via payroll pre-tax deduction.",Neither agree nor disagree,Disagree or Nuetral,Disagree,Disagree or Nuetral,No,"","","","","","","","","","","","",-74.978972|40.0836359
25-34,Staff,0,1,Woman,"","","",Asian,"","","","","","$150,000 or more",Yes,Perelman School of Medicine,"",39.8932884,-75.3630796,39.9522188,-75.1932137,7,7,7,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6:00-8:00 AM,More than 40 hours,Personal car,Public Transit,"","","",Rideshare or taxi,"","","","","","","","","","","","","","","","","",Not compatible with my schedule,"",Takes too long,"","","","","","","","","","",Not compatible with my schedule,"",Takes too long,"",Would have to transfer,"","","","","",Drive alone to work every day.Pay $210 monthly cost via payroll pre-tax deduction for parking.,Drive alone to work every day.Pay $210 monthly cost via payroll pre-tax deduction for parking.,"",Neither agree nor disagree,Disagree or Nuetral,Agree,Agree,No,"","","","","","","","","","","","",-75.3630796|39.8932884
55-64,Faculty,1,0,Man,White,"","","","","","","","","$150,000 or more",No,Perelman School of Medicine,"",39.9084036,-75.3719373,39.9485292,-75.1968467,6,6,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8:00-10:00 AM,31-40 hours,Personal car,Public Transit,"","",Carpool,"","","","","","","","","","","","","","","","","","","","","","","","",I prefer my current type of transportation,"","","","","","","","","","","","","","","","","","Drive alone three days a week
Take public transit two days a week
Pay $210 for monthly parking.Pay for transit fare.
Both together are eligible for upto $280 monthly payroll pre-tax exemption.","",Strongly Agree,Agree,Strongly Agree,Agree,No,"","","","","","","","","","","","",-75.3719373|39.9084036
55-64,Staff,0,1,"","",Black or African American,"","","","","","","","$140,000 - $149,999",No,Perelman School of Medicine,"",40.0584828,-75.1814322,39.9484563,-75.197445,3,3,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6:00-8:00 AM,21-30 hours,"",Public Transit,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Agree,Agree,Agree,Agree,No,"","","","","","","","","","","","",-75.1814322|40.0584828
65+,Faculty,1,0,Man,White,"","","","","","","","","$150,000 or more",No,School of Arts and Sciences,"",39.9982136,-75.2508229,39.9522188,-75.1932137,3,3,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8:00-10:00 AM,21-30 hours,Personal car,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",I prefer my current type of transportation,"","","","","","","","","","","","","","","","",Drive alone to work every day.Pay $210 monthly cost via payroll pre-tax deduction for parking.,"","",Agree,Agree,Neither agree nor disagree,Disagree or Nuetral,Yes,1-2 trips,1-2 trips,"","","Take SEPTA to 30th St. Station, take Amtrak to New York Penn Station","Drive to PHL, fly to Boston Logan","Drive to PHL, fly to Pittsburgh","","",Agree,Neither agree nor disagree,Neither agree nor disagree,-75.2508229|39.9982136
35-44,Faculty,1,0,"",White,"","","","","","","","","$150,000 or more",Yes,School of Arts and Sciences,"",39.9499554,-75.221044,39.9529913,-75.1922872,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8:00-10:00 AM,21-30 hours,Personal car,Public Transit,Walk,Bike,"",Rideshare or taxi,"","Other mobility device (Scooter, Hoverboard, etc.)","","","","","","","","","","","","","","",I prefer my current type of transportation,"","","","","","",I prefer my current type of transportation,"","","","","","","","","","","","",I prefer my current type of transportation,"","","Walk or bike more than three days per week.

Drive or take transit as needed.  Parking costs $17 per day.","","Drive alone three days a week
Take public transit two days a week
Pay $210 for monthly parking.Pay for transit fare.
Both together are eligible for upto $280 monthly payroll pre-tax exemption.","Walk or bike three days per week.
Take public transit two days per week.
Pay for transit fare.
Receive $20/month in bicycle expenses.",Strongly Agree,Agree,Strongly Agree,Agree,Yes,1-2 trips,1-2 trips,1-2 trips,1-2 trips,"Take a taxi or use rideshare to get to 30th St. Station, take Amtrak to New York Penn Station","Take a taxi or use rideshare to get to PHL, fly to Boston Logan","Take a taxi or use rideshare to get to PHL, fly to Pittsburgh","","",Strongly agree,Strongly agree,Strongly agree,-75.221044|39.9499554
55-64,Staff,0,1,"",White,"","","","","","","","","$100,000 - $119,999",No,Perelman School of Medicine,"",39.933506,-75.5254286,39.9479166,-75.1904076,4,2,2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6:00-8:00 AM,11-20 hours,"",Public Transit,"","","","",Vanpool,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Agree,Agree,Agree,Agree,No,"","","","","","","","","","","","",-75.5254286|39.933506
45-54,Staff,0,1,Woman,White,"","","","","","","","","$40,000 - $59,999",No,None of the above,"",39.9167783,-75.387693,39.9501477,-75.19388289999999,5,5,5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8:00-10:00 AM,31-40 hours,Personal car,Public Transit,"","","","","","","","","","","","","","","","","","","","","",Not compatible with my schedule,"","","","","","","","","","","","","",Too expensive,"","","","","","","","",Drive alone to work every day.Pay $210 monthly cost via payroll pre-tax deduction for parking.,Drive alone to work every day.Pay $210 monthly cost via payroll pre-tax deduction for parking.,"",Strongly Agree,Agree,Disagree,Disagree or Nuetral,No,"","","","","","","","","","","","",-75.387693|39.9167783
35-44,Staff,0,1,Woman,"","",Hispanic or Latinx,"","","","","","","$40,000 - $59,999",Yes,Annenberg School for Communication,"",39.8648194,-75.4257325,39.9529206,-75.1955861,10,5,5,0,5,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8:00-10:00 AM,31-40 hours,Personal car,Public Transit,"","","","","","","","","","","","","","","","","","","","","","","","",Need a car before or after work,"","",I prefer my current type of transportation,"","","","","","","","","","","","","","","","","","Drive alone three days a week
Take public transit two days a week
Pay $210 for monthly parking.Pay for transit fare.
Both together are eligible for upto $280 monthly payroll pre-tax exemption.","Take public transit three days per week. 
Walk or bike two days per week. 
Pay for monthly transit fare up to $280 via payroll pre-tax deduction.",Agree,Agree,Neither agree nor disagree,Disagree or Nuetral,No,"","","","","","","","","","","","",-75.4257325|39.8648194
35-44,Staff,0,1,Woman,"","","",Asian,"","","","","","$60,000 - $79,999",No,Division of Facilities and Real Estate Services,"",40.1721207,-75.1067612,39.9522188,-75.1932137,5,5,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8:00-10:00 AM,31-40 hours,"",Public Transit,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Agree,Agree,Agree,Agree,No,"","","","","","","","","","","","",-75.1067612|40.1721207
55-64,Staff,0,1,"",White,"","","","","","","","","$100,000 - $119,999",No,School of Arts and Sciences,"",39.744655,-75.5483909,39.951971,-75.197901,6,3,3,1,2,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,8:00-10:00 AM,21-30 hours,Personal car,Public Transit,"","",Carpool,"",Vanpool,"","","","","","","","","","","","","","","","",Not compatible with my schedule,"","",Need a car before or after work,Don't know how to find a carpool partner,"","",Not compatible with my schedule,"",Takes too long,Need a car before or after work,"","","","","","","","","","","","","","","",Strongly Agree,Agree,Strongly Agree,Agree,Yes,"",3-4 trips,"",1-2 trips,"Take SEPTA to 30th St. Station, take Amtrak to New York Penn Station","Take SEPTA to PHL, fly to Boston Logan",Drive Pittsburgh and park overnight,Neither agree nor disagree,Neither agree nor disagree,"",Strongly agree,"",-75.5483909|39.744655
45-54,Staff,0,1,Woman,"",Black or African American,"","","","","","","","$100,000 - $119,999",No,Division of Finance,"",40.0854545,-75.1664401,39.9533066,-75.1939253,2,2,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8:00-10:00 AM,11-20 hours,"",Public Transit,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Neither agree nor disagree,Disagree or Nuetral,Neither agree nor disagree,Disagree or Nuetral,Yes,0 trips,0 trips,0 trips,0 trips,"Take SEPTA to 30th St. Station, take Amtrak to New York Penn Station","Take SEPTA to PHL, fly to Boston Logan","Take SEPTA to 30th St. Station, take Amtrak to Pittsburgh","","",Strongly agree,Disagree,Neither agree nor disagree,-75.1664401|40.0854545
45-54,Staff,0,1,"",White,"","","","","","","","","$60,000 - $79,999",Yes,The Wharton School,"",39.9098345,-75.3235215,39.95705410000001,-75.19760889999999,2,2,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6:00-8:00 AM,11-20 hours,"",Public Transit,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Agree,Agree,Agree,Agree,No,"","","","","","","","","","","","",-75.3235215|39.9098345
35-44,Staff,0,1,"",White,"","","","","","","","","$150,000 or more",Yes,None of the above,"",39.8932884,-75.3630796,39.9519137,-75.1836458,6,3,3,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8:00-10:00 AM,21-30 hours,Personal car,Public Transit,"","",Carpool,"","","","","","","","","","","","","","","","","","","","","","","","",I prefer my current type of transportation,"","","","","","","","","","","","","","","","","",Drive alone to work every day.Pay $210 monthly cost via payroll pre-tax deduction for parking.,"Take public transit three days per week. 
Walk or bike two days per week. 
Pay for monthly transit fare up to $280 via payroll pre-tax deduction.",Agree,Agree,Strongly Agree,Agree,No,"","","","","","","","","","","","",-75.3630796|39.8932884
35-44,Staff,0,1,"",White,"","","","","","","","","$60,000 - $79,999",No,School of Engineering and Applied Science,"",40.0226765,-75.3298758,39.9520621,-75.1903923,3,3,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8:00-10:00 AM,21-30 hours,Personal car,Public Transit,"","","","","","","","","","","","","","","","","","","","","","","","","","","",I prefer my current type of transportation,"","","","","","","","","","","","","","","","","",Drive alone to work every day.Pay $210 monthly cost via payroll pre-tax deduction for parking.,"",Agree,Agree,Neither agree nor disagree,Disagree or Nuetral,No,"","","","","","","","","","","","",-75.3298758|40.0226765
25-34,Staff,0,1,Woman,White,"","","","","","","","","$20,000 - $39,999",No,The Wharton School,"",39.9646842,-75.1692962,39.9519137,-75.1836458,3,3,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8:00-10:00 AM,21-30 hours,Personal car,Public Transit,Walk,"","",Rideshare or taxi,"","","","","","","","","","","","","",Takes too long,"","",I prefer my current type of transportation,"","","","","","",I prefer my current type of transportation,"","","","","","","","","","","","","","","","Walk or bike more than three days per week.

Drive or take transit as needed.  Parking costs $17 per day.","","Drive alone three days a week
Take public transit two days a week
Pay $210 for monthly parking.Pay for transit fare.
Both together are eligible for upto $280 monthly payroll pre-tax exemption.","",Agree,Agree,Agree,Agree,Yes,1-2 trips,"","",3-4 trips,"Take SEPTA to 30th St. Station, take Amtrak to New York Penn Station","Take SEPTA to 30th St. Station, take Amtrak to Boston","Take a taxi or use rideshare to get to PHL, fly to Pittsburgh","","",Strongly agree,Agree,Disagree,-75.1692962|39.9646842
35-44,Staff,0,1,"","","","",Asian,"","","","","","$80,000 - $99,999",No,Perelman School of Medicine,"",39.9682609,-75.1749671,39.9583587,-75.1953934,5,5,5,0,1,0,4,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,10:00-12:00 PM,More than 40 hours,"",Public Transit,"",Bike,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk or bike three days per week.
Take public transit two days per week.
Pay for transit fare.
Receive $20/month in bicycle expenses.",Strongly Agree,Agree,"",Disagree or Nuetral,No,"","","","","","","","","","","","",-75.1749671|39.9682609
25-34,Staff,0,1,"","","","","","","","","","","$150,000 or more",No,School of Arts and Sciences,"",39.8912248,-74.9218324,39.9558177,-75.1945728,2,2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8:00-10:00 AM,11-20 hours,Personal car,Public Transit,"","","","","","","","","","","","","","","","","","","","","","","","","","","",I prefer my current type of transportation,"","","","","","","","",Takes too long,"",Would have to transfer,"","",It doesn't seem clean,It doesn't seem safe,"",Drive alone to work every day.Pay $210 monthly cost via payroll pre-tax deduction for parking.,Drive alone to work every day.Pay $210 monthly cost via payroll pre-tax deduction for parking.,"",Disagree,Disagree or Nuetral,Disagree,Disagree or Nuetral,Yes,3-4 trips,0 trips,0 trips,0 trips,"Take a taxi or use rideshare to get to 30th St. Station, take Amtrak to New York Penn Station","Take a taxi or use rideshare to get to 30th St. Station, take Amtrak to Boston","Take a taxi or use rideshare to get to PHL, fly to Pittsburgh","","",Disagree,Disagree,Disagree,-74.9218324|39.8912248
25-34,Staff,0,1,Woman,"",Black or African American,"",Asian,"","","","","","$60,000 - $79,999",No,Perelman School of Medicine,"",40.0843985,-75.4069758,39.9522819,-75.1661443,2,2,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8:00-10:00 AM,11-20 hours,Personal car,Public Transit,"","","","","","","","","","","","","","","","","","","","","",Not compatible with my schedule,"","",Need a car before or after work,Don't know how to find a carpool partner,"","","","","","","","","","","","","","","","","","",Drive alone to work every day.Pay $210 monthly cost via payroll pre-tax deduction for parking.,Drive alone to work every day.Pay $210 monthly cost via payroll pre-tax deduction for parking.,"",Agree,Agree,Agree,Agree,No,"","","","","","","","","","","","",-75.4069758|40.0843985
25-34,Staff,0,1,Woman,White,"","","","","","","","","$60,000 - $79,999",No,Annenberg School for Communication,"",39.9572577,-75.1741235,39.9527227,-75.1959186,9,4,4,0,3,4,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8:00-10:00 AM,21-30 hours,"",Public Transit,Walk,Bike,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk or bike three days per week.
Take public transit two days per week.
Pay for transit fare.
Receive $20/month in bicycle expenses.",Strongly Agree,Agree,Agree,Agree,Yes,"","","","","Take SEPTA to 30th St. Station, take Amtrak to New York Penn Station","Take SEPTA to 30th St. Station, take Amtrak to Boston","Take SEPTA to 30th St. Station, take Amtrak to Pittsburgh","","","","","",-75.1741235|39.9572577
55-64,Staff,0,1,"",White,"",Hispanic or Latinx,"","","","","","","$150,000 or more",No,Provost Center,"",39.5161072,-75.6440842,39.9521872,-75.194811,3,3,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8:00-10:00 AM,31-40 hours,Personal car,Public Transit,"","","","","","","","","","","","","","","","","","","","","","","","","","","",I prefer my current type of transportation,"","","","","","","","","","","","","","","","","","Drive alone three days a week
Take public transit two days a week
Pay $210 for monthly parking.Pay for transit fare.
Both together are eligible for upto $280 monthly payroll pre-tax exemption.","",Agree,Agree,Strongly Agree,Agree,No,"","","","","","","","","","","","",-75.6440842|39.5161072
45-54,Staff,0,1,Woman,"",Black or African American,"","","","","","","","$100,000 - $119,999",No,Perelman School of Medicine,"",39.9515669,-75.2392446,39.9484563,-75.197445,3,2,2,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8:00-10:00 AM,11-20 hours,"",Public Transit,Walk,Bike,"",Rideshare or taxi,"","",I don't own a bicycle,"","","",Weather,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk or bike three days per week.
Take public transit two days per week.
Pay for transit fare.
Receive $20/month in bicycle expenses.",Agree,Agree,Agree,Agree,No,"","","","","","","","","","","","",-75.2392446|39.9515669
45-54,Staff,0,1,"",White,"","","","","","","","","$100,000 - $119,999",No,Penn Libraries,"",39.9520388,-75.2204595,39.9527242,-75.1940217,5,5,5,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10:00-12:00 PM,31-40 hours,"",Public Transit,Walk,Bike,"",Rideshare or taxi,"","","","","","","","","","","","",Accessibility issues,Takes too long,Weather,"","","","","","","","","","","","","","","","",Too expensive,"","","","",I prefer my current type of transportation,It doesn't seem clean,It doesn't seem safe,"","","","Walk or bike three days per week.
Take public transit two days per week.
Pay for transit fare.
Receive $20/month in bicycle expenses.",Strongly Agree,Agree,Neither agree nor disagree,Disagree or Nuetral,No,"","","","","","","","","","","","",-75.2204595|39.9520388
25-34,Staff,0,1,Woman,White,"","","","","","","","","$120,000 - $139,999",No,Perelman School of Medicine,"",39.9562709,-75.1689686,39.9554481,-75.1953419,3,3,3,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,8:00-10:00 AM,21-30 hours,"",Public Transit,Walk,Bike,"",Rideshare or taxi,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",I prefer my current type of transportation,It doesn't seem clean,It doesn't seem safe,"","","","Walk or bike three days per week.
Take public transit two days per week.
Pay for transit fare.
Receive $20/month in bicycle expenses.",Strongly Agree,Agree,Strongly Agree,Agree,No,"","","","","","","","","","","","",-75.1689686|39.9562709
35-44,Staff,0,1,"",White,"","","","","","","","","$150,000 or more",Yes,Perelman School of Medicine,"",39.8583408,-75.4696206,39.9487447,-75.1928516,5,5,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6:00-8:00 AM,31-40 hours,Personal car,Public Transit,"","",Carpool,"","","","","","","","","","","","","","","","","","","","","","","","",I prefer my current type of transportation,"","","","","","","","","","","","","","","","","","Drive alone three days a week
Take public transit two days a week
Pay $210 for monthly parking.Pay for transit fare.
Both together are eligible for upto $280 monthly payroll pre-tax exemption.","",Agree,Agree,Agree,Agree,No,"","","","","","","","","","","","",-75.4696206|39.8583408
55-64,Staff,0,1,"",White,"","","","","","","","","$80,000 - $99,999",No,Perelman School of Medicine,"",40.0264127,-75.3323812,39.9497156,-75.1984913,12,4,4,4,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8:00-10:00 AM,31-40 hours,Personal car,Public Transit,"","",Carpool,"",Vanpool,"","","","","","","","","","","","","","","","",Not compatible with my schedule,"","","",Don't know how to find a carpool partner,"",I prefer my current type of transportation,"","","","","",I prefer my current type of transportation,"","","","","","","","","","",Carpool to work every day with one other person. Pay approximately $80 monthly cost via payroll pre-tax exemption for parking.,"Drive alone three days a week
Take public transit two days a week
Pay $210 for monthly parking.Pay for transit fare.
Both together are eligible for upto $280 monthly payroll pre-tax exemption.","Take public transit three days per week. 
Walk or bike two days per week. 
Pay for monthly transit fare up to $280 via payroll pre-tax deduction.",Agree,Agree,Strongly Agree,Agree,No,"","","","","","","","","","","","",-75.3323812|40.0264127
35-44,Staff,0,1,Woman,"",Black or African American,"","","","","","","","$40,000 - $59,999",Yes,School of Nursing,"",39.9510189,-75.2452106,39.9478088,-75.198309,2,2,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8:00-10:00 AM,21-30 hours,Personal car,Public Transit,"","","",Rideshare or taxi,"","","","","","","","","","","","","","","","","",Not compatible with my schedule,"",Takes too long,"",Don't know how to find a carpool partner,I live too close to work,"","","","","","","","","","","","","","","","","","","","",Neither agree nor disagree,Disagree or Nuetral,Strongly disagree,Disagree or Nuetral,No,"","","","","","","","","","","","",-75.2452106|39.9510189
35-44,Staff,0,1,Woman,White,"","","","","","","","","$150,000 or more",No,Perelman School of Medicine,"",39.9362264,-75.170458,39.9565128,-75.1937293,2,2,2,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,8:00-10:00 AM,11-20 hours,Personal car,Public Transit,Walk,Bike,Carpool,"","","","",I believe it's unsafe,"","","","","","","","","","","","","",Not compatible with my schedule,"","","","","","","","","","","","","","","","","","",I prefer my current type of transportation,"","","Walk or bike more than three days per week.

Drive or take transit as needed.  Parking costs $17 per day.",Drive alone to work every day.Pay $210 monthly cost via payroll pre-tax deduction for parking.,Drive alone to work every day.Pay $210 monthly cost via payroll pre-tax deduction for parking.,"Walk or bike three days per week.
Take public transit two days per week.
Pay for transit fare.
Receive $20/month in bicycle expenses.",Neither agree nor disagree,Disagree or Nuetral,Neither agree nor disagree,Disagree or Nuetral,No,"","","","","","","","","","","","",-75.170458|39.9362264
25-34,Graduate Student,0,0,Woman,White,"","","","","","","","","$100,000 - $119,999",No,Graduate School of Education,"",40.2778055,-74.7294313,39.9533119,-75.1970183,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12:00 - 2:00 PM,0-10 hours,Personal car,"","","","","","","","","","","","","","","","","","","","","","",Not compatible with my schedule,"",Takes too long,"",Don't know how to find a carpool partner,"",I prefer my current type of transportation,"","","","","","","","","","","","","","","","",Drive alone to work every day.Pay $210 monthly cost via payroll pre-tax deduction for parking.,"","",Neither agree nor disagree,Disagree or Nuetral,Disagree,Disagree or Nuetral,Yes,3-4 trips,1-2 trips,0 trips,1-2 trips,Drive to New York City and park overnight,"Take a taxi or use rideshare to get to PHL, fly to Boston Logan","Take a taxi or use rideshare to get to PHL, fly to Pittsburgh",Agree,Agree,Agree,Disagree,Agree,-74.7294313|40.2778055
25-34,Staff,0,1,Woman,"","","",Asian,"","","","","","$60,000 - $79,999",No,School of Arts and Sciences,"",39.960955,-75.141383,39.955859,-75.1914436,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8:00-10:00 AM,0-10 hours,"",Public Transit,"","","",Rideshare or taxi,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Strongly Agree,Agree,Agree,Agree,Yes,1-2 trips,1-2 trips,"","","Take SEPTA to 30th St. Station, take Amtrak to New York Penn Station","Take a taxi or use rideshare to get to PHL, fly to Boston Logan","Take a taxi or use rideshare to get to PHL, fly to Pittsburgh","","",Agree,Neither agree nor disagree,Neither agree nor disagree,-75.141383|39.960955
35-44,Faculty,1,0,Man,White,"","","","","","","","","$150,000 or more",Yes,Perelman School of Medicine,"",39.9167783,-75.387693,39.9584406,-75.1994594,4,4,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6:00-8:00 AM,More than 40 hours,Personal car,"","","","","","","","","","","","","","","","","","","","","","",Not compatible with my schedule,"","","","","","","","","","","","","","","","","","","","","","",Drive alone to work every day.Pay $210 monthly cost via payroll pre-tax deduction for parking.,"","",Disagree,Disagree or Nuetral,Strongly disagree,Disagree or Nuetral,No,"","","","","","","","","","","","",-75.387693|39.9167783
